variant,label,seed,rate,weighted_f1,macro_f1,accuracy,mae,correlation,selected_epoch,selection_protocol
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.6,0.7565327083875821,0.7509845788849348,0.7560975609756098,1.1377136707305908,0.5683312870665053,65,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,69,0.7,0.7689920566269106,0.7625188498984683,0.7698170731707317,1.0770856142044067,0.5704034579002288,59,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.0,0.8537359738823598,0.8489750319280159,0.8551829268292683,0.8523077368736267,0.7593352492875122,30,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.1,0.8417462604519282,0.8381399762752075,0.8414634146341463,0.9244595766067505,0.7304517524000417,37,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.2,0.7927197556128331,0.7846020910740517,0.7972560975609756,0.9695436358451843,0.6664749549330989,30,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.3,0.7984687510607182,0.7920106492406366,0.8003048780487805,1.0094753503799438,0.6340828685447767,50,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.4,0.7760728929206612,0.7706920945937912,0.7759146341463414,1.0438976287841797,0.5988193571968675,68,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.5,0.7487017233420525,0.7413448222803507,0.75,1.061113953590393,0.5764696587647411,68,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.6,0.7469512195121951,0.7406818246763762,0.7469512195121951,1.052187204360962,0.5699513062250188,68,per-rate-test-oracle
no-jepa-groupdro,no-JEPA + GroupDRO,70,0.7,0.7392569002605931,0.7370128659332462,0.7378048780487805,1.1476339101791382,0.566602504221322,62,per-rate-test-oracle
reg-only,baseline reg-only JEPA,66,0.0,0.8748065311269919,0.8715175602858563,0.875,0.7748115658760071,0.804007209386674,46,per-rate-test-oracle
