variant,seed,rate,pattern,total_count,excluded_original_neutral,count,weighted_f1
Three-class,69,0.3,V,45,0,45,0.6633482661357226
Three-class,69,0.3,T,45,0,45,0.9111111111111111
Three-class,69,0.3,TV,96,0,96,0.7999600037643515
Three-class,69,0.3,A,49,0,49,0.5641644483880508
Three-class,69,0.3,AV,91,0,91,0.686279238003376
Three-class,69,0.3,AT,101,0,101,0.8717022868828115
Three-class,69,0.3,ATV,229,0,229,0.8865369015394033
Three-class,69,0.4,V,74,0,74,0.5467539217539217
Three-class,69,0.4,T,77,0,77,0.8583682572359875
Three-class,69,0.4,TV,92,0,92,0.9130434782608695
Three-class,69,0.4,A,89,0,89,0.6521307514053923
Three-class,69,0.4,AV,96,0,96,0.6125474383301707
Three-class,69,0.4,AT,85,0,85,0.8929021802435998
Three-class,69,0.4,ATV,143,0,143,0.8576576422353657
Three-class,69,0.5,V,122,0,122,0.6520761482246767
Three-class,69,0.5,T,126,0,126,0.8866941015089163
Three-class,69,0.5,TV,83,0,83,0.8170264452919165
Three-class,69,0.5,A,120,0,120,0.6902583561708009
Three-class,69,0.5,AV,74,0,74,0.6337336055645916
Three-class,69,0.5,AT,63,0,63,0.7892048102120819
Three-class,69,0.5,ATV,68,0,68,0.8529411764705883
Three-class,69,0.6,V,146,0,146,0.6151823083166692
